jeu_video,description_activite1,description_activite2,activite1_gagnante,commentaire,question,theme,explication
FALSE,Buying a board game to be shared between several people,Buying a new board game for one person,TRUE,Buying a board game to share between several people has less impact on the environment.,What has the least impact on the environment?,Mutualiser,Owning one game for several people means that everyone doesn't have to buy their own. This limits the production of new board games. Game production is the part of the game that has the greatest impact on the environment.
FALSE,Playing a board game with friends,Playing a board game alone,TRUE,Playing together has less impact on the environment.,What has the least impact on the environment?,Partage,"When there's more than one person playing, the impact of playing is divided by the number of players, so the impact is reduced. And don't forget to take public transport, the bike or walk to your friend's house to play!"
FALSE,400 large board games,1 round-trip Geneva-New York flight,TRUE,1 round trip Geneva-New York by plane pollutes more than 400 large board games.,What has the least impact on the environment?,Autre jeu,Board games have an impact on the environment. But it is much smaller than the impact of flying.
FALSE,150 small board games,1 round trips by car across Switzerland,TRUE,1 round trip across Switzerland by car (from west to east) pollutes more than 150 small board games.,What has the least impact on the environment?,Autre jeu,Board games have an impact on the environment. But it is much smaller than the impact of car use.
FALSE,25 card games,Eating a beef steak,TRUE,1 beef steak pollutes more than 25 card games.,What has the least impact on the environment?,Autre jeu,Board games have an impact on the environment. But it's smaller than eating beef steak. The calculation is based on a 150g beef steak.
FALSE,Play a large board game,Eating 67 apples,FALSE,Playing a large board game has the same effect on the environment as eating 67 apples.,What has the least impact on the environment?,Egal,Eating 67 apples is equivalent to eating just over one apple a week for a year!
TRUE,"Some small independent games, with less impressive graphics, but a creative storyline",A popular video game with stunning graphics and millions of online players,TRUE,Small independent games are less polluting.,What has the least impact on the environment?,Limiter la quantité,"A big industry that produces a lot of video games is going to have more impact on the environment than a small independent game. If everyone played a few small independent games, the video game industry would have less impact than if everyone plays big games with graphics that require more resources to produce."
TRUE,Extend the legal warranty of our equipments to 10 years,Keep the 2-year warranty of our equipments,TRUE,Extending the legal warranty on our equipments to 10 years can help reduce our impact on the environment.,What action can benefit the environment?,Limiter la quantité,"Extending the legal warranty on our equipments to 10 years can help encourage buyers to return their faulty equipments to the manufacturers. If the manufacturers repair them, this action can help reduce our impact on the environment. "
TRUE,Adjust purchasing policies to take sustainability into account,Not considering sustainability in purchasing policies,TRUE,Adjusting purchasing policies to take sustainability into account can help reduce our environmental impact.,What action can benefit the environment?,Limiter la quantité,"Adjusting purchasing policies can take the following form:
- Spacing out equipment renewal periods
- Opting for long-term repair and maintenance contracts
- Consider the sustainability of hardware and software purchases."
FALSE,Extend the legal warranty on our games to 10 years,Keep the 2-year warranty on our games,TRUE,Extending the legal warranty on our games to 10 years can help reduce our impact on the environment.,What action can benefit the environment?,Limiter la quantité,"Extending the legal warranty on our games to 10 years can help encourage buyers to return their faulty games to the manufacturers. If the manufacturers repair them, this action can help reduce our impact on the environment. "
FALSE,Adjust purchasing policies to take sustainability into account,Not considering sustainability in purchasing policies,TRUE,Adjusting purchasing policies to take sustainability into account can help reduce our environmental impact.,What action can benefit the environment?,Limiter la quantité,"Adjusting purchasing policies can take the following form:
- Spacing out games renewal periods
- Opting for long-term repair and maintenance contracts
- Consider the sustainability of games purchases."
TRUE,Add a reparability index to sold equipment,Add the NutriScore index to sold equipment,TRUE,Adding a reparability index to the equipment we sell can help reduce our impact on the environment.,What action can benefit the environment?,Prolonger la durée de vie,This encourages people to buy equipment that can be easily repaired and that will last over time.
