jeu_video,description_activite1,description_activite2,activite1_gagnante,commentaire,question,theme,explication
TRUE,1 phone (smartphone),1 laptop computer,TRUE,A laptop produces on average twice the impact of a phone.,What has the least impact on the environment?,Autre jeu,"The manufacture of a computer requires more resources than the manufacture of a phone, which is why it pollutes more. It's estimated that, on average, we keep our phones for 2,5 years and our laptops for 5 years."
TRUE,1 laptop computer,1 round-trip Geneva-New York flight,TRUE,Flying 1 round trip from Geneva to New York pollutes 9 times more than a laptop.,What has the least impact on the environment?,Autre jeu,"Making computers pollutes, but flying pollutes a lot more when you focus on greenhouse gas emissions!"
TRUE,The complete Friends series streaming on TV,1 laptop computer,TRUE,"One computer pollutes 24 times more than watching the entire Friends series, and there are a lot of episodes... 236 20-minute episodes, to be exact!",What has the least impact on the environment?,Autre jeu,"Using a computer to watch a TV series or a movie pollutes much less than a computer over its entire life cycle, taking into account its manufacture, use and the recycling or incineration of its materials when no longer in use. Most of the impact of a laptop comes from its manufacture, not from its use."
TRUE,1 laptop computer,2 round trips by car across Switzerland,FALSE,2 round-trips by car across Switzerland pollutes as much as buying a laptop.,What has the least impact on the environment?,Egal,"The pollution from a computer is comparable to driving across Switzerland from west to east 4 times (2 times 2 round trips). And since most of a computer's pollution comes from its manufacture, every time we buy a computer, it's equivalent to driving across Switzerland 4 times."
TRUE,Eating a beef steak,Buy 1 laptop,TRUE,1 laptop has 10 times more impact than a beef steak.,What has the least impact on the environment?,Autre jeu,This result is obtained by comparing the equivalent CO2 emissions. The calculation is based on a 150g beef steak.
TRUE,305 hours of video streaming,Eating a beef steak,FALSE,Eating a beef steak pollutes as much as watching 305 hours of online video.,What has the least impact on the environment?,Egal,"305h of videos is 3h of videos for 100 days!

This result is obtained by comparing the equivalent CO2 emissions. The calculation is based on a 150g beef steak."
TRUE,1 laptop computer,1 desktop computer,TRUE,A desktop computer has 1.5 times more impact on the environment than a laptop.,What has the least impact on the environment?,Autre jeu,"A desktop computer (without the screen) is generally more powerful than a laptop. Thus, it will need more resources to be manufactured (metals, energy, etc.) and will therefore generate more impact."
TRUE,1 phone (smartphone),1 computer screen,FALSE,A phone pollutes as much as a computer screen.,What has the least impact on the environment?,Egal,"On one hand, the manufacture of a phone has a greater impact than that of a computer screen: it emits more CO2 equivalent. On the other hand, we generally keep our computer screens much longer (6 years) than our phones (2,5 years). So the impact of screen use offsets the extra impact of phone manufacture."
TRUE,Playing with a store-bought video game,Playing a video game downloaded from the Internet,FALSE,Playing a video game downloaded from the Internet is just as polluting as playing one bought in a store.,What has the least impact on the environment?,Egal,"As far as the environment is concerned, there is very little difference between buying a game in a store and downloading one from the Internet. This is because the impact of downloading or buying the physical game is amortized over the number of hours played. The impact of buying the game becomes small in comparison with the manufacture of the console used to play it, which is the source of most of the impact."
FALSE,Play a board game made entirely of paper and cardboard,Playing a board game made entirely of plastic,TRUE,Playing a board game made entirely of paper and cardboard pollutes less than if it were produced entirely in plastic.,What has the least impact on the environment?,Résultats ACV,"The production of plastic pollutes more than the production of paper and cardboard, so a board game made entirely of plastic will pollute more than one made of paper and cardboard."
FALSE,Play a Print & Play game (game printed at home),Playing a board game,TRUE,Playing Print & Play pollutes less than playing a board game.,What has the least impact on the environment?,Résultats ACV,"To play a Print & Play game, all you have to do is print out the game on paper sheets, which is far less polluting than making a new game with a cardboard board, paper cards, wooden pieces, etc. "
FALSE,A board game made from recycled materials,A board game with non-recycled materials,TRUE,A board game with recycled materials pollutes less than one with non-recycled materials.,What has the least impact on the environment?,Résultats ACV,"A game with recycled materials limits the production of new materials, and it is the production of new materials that has the greatest impact in the production of board games."
FALSE,Play a little board game (Bandido),Play a medium-sized board game (Celestia),TRUE,A small game like Bandido pollutes 2 times less than a medium-sized game like Celestia.,What has the least impact on the environment?,Résultats étude,"Most of the impact of a board game comes from the amount of paper and cardboard in the game, as this is the main component in most board games. So, the more paper and cardboard there is in a game, the greater its impact. Hence Celestia's greater impact than Bandido. The key message here is the smaller the game, the smaller the impact !"
FALSE,Play a medium-sized board game (Celestia),Play a large board game (Catan),TRUE,An medium-sized game like Celestia pollutes almost 4 times less than a large game like Catan.,What has the least impact on the environment?,Résultats étude,"Most of the impact of a board game comes from the amount of paper and cardboard in the game, as this is the main component in most board games. So, the more paper and cardboard there is in a game, the greater its impact. Hence why Catan is more impactful than Celestia. The key message is the smaller the game, the smaller the impact !"
FALSE,Donate or sell your board game stored in a cabinet and no longer played,Store your board game in a cabinet and never play it again,TRUE,Donating or selling your unused board game is better for the environment than storing it at home and not playing it.,What has the least impact on the environment?,Prolonger la durée de vie,"Donating or selling your unused board game prolongs its life. It allows other people to continue playing it, if you no longer do. When you play, it's the manufacture of the board game that has the greatest impact on the environment. Extending a game's lifespan limits the need to buy new games."
FALSE,Taking care of your board game ,Put your board game in the trash if it's damaged,TRUE,Taking care of your board game is better for the environment than throwing it away if it's damaged.,What has the least impact on the environment?,Prolonger la durée de vie,"Taking care of your board game helps it last longer, and therefore limits the need to buy new games. When you play, it's the manufacture of the game that has the greatest impact on the environment."
FALSE,Replace the missing piece of your board game ,Not using your board game anymore if a piece is missing,TRUE,Replacing the missing part of your board game so that you can continue to play it is better for the environment than not using your game at all if a part is missing.,What has the least impact on the environment?,Prolonger la durée de vie,"Replacing the missing part of your board game means you can keep your game longer and buy fewer new games. When you play, it's the making of the game that has the biggest impact on the environment."
FALSE,Buy a second-hand board game,Buy a new board game,TRUE,"Buying a second-hand board game is better for the environment than buying a new one, because the most sustainable game is the one you already have!",What has the least impact on the environment?,Prolonger la durée de vie,Buying a second-hand board game avoids buying a new one. The production of a new game is the most environmentally-impacting part of playing. Buying second-hand prolongs the lifespan of the game. The game can be used for longer.
FALSE,Borrow a board game from a games library,Buy a new board game,TRUE,Borrowing a board game from a games library has less impact on the environment than buying a new one.,What has the least impact on the environment?,Prolonger la durée de vie,"Borrowing a board game from a games library means you don't have to buy a new one. This extends the life of the borrowed game. The game can be used for longer. When we play, the manufacture of the game is the part that has the greatest impact on the environment."
FALSE,Play a board game at the Swiss Game Museum's games library,Buy a new board game,TRUE,Playing a board game at the Swiss Game Museum's games library has less impact on the environment than buying a new game.,What has the least impact on the environment?,Prolonger la durée de vie,Playing a board game from the Swiss Games Museum (SGM) library saves you from having to buy a new one. It extends the lifespan of the game. The game can be used for longer. It avoids the production of a new game. Game production is the part of the game that has the greatest impact on the environment. 
FALSE,Share board games with friends,Buy a new board game just for you,TRUE,Lending board games between friends has less impact on the environment than buying a new game just for you.,What has the least impact on the environment?,Mutualiser,Having one game for several people means that everyone doesn't have to buy their own. This limits the production of new board games. Game production is the part of the game that has the greatest impact on the environment.
FALSE,Buy a board game to share between several people,Buy a new board game for one person,TRUE,Buying a board game to share between several people has less impact on the environment than buying a new game for one person.,What has the least impact on the environment?,Mutualiser,Having one game for several people means that everyone doesn't have to buy their own. This limits the production of new board games. Game production is the part of the game that has the greatest impact on the environment.
FALSE,Playing a board game with friends,Playing a board game alone,TRUE,Playing together has less impact on the environment than playing alone.,What has the least impact on the environment?,Partage,"When there's more than one person playing, the impact of the board game is divided by the number of players, so the impact is reduced. And don't forget to take public transport, bike or walk to your friend's house to play!"
FALSE,400 large board games (Catan),1 round-trip Geneva-New York flight,TRUE,1 round trip Geneva-New York by plane pollutes more than 400 large board games like Catan.,What has the least impact on the environment?,Autre jeu,Board games do have an impact on the environment. But it's much smaller than the impact of flying.
FALSE,150 medium-sized board games (Celestia),1 round trips by car across Switzerland,TRUE,1 round trip across Switzerland by car (from west to east) pollutes more than 150 mid-sized board games like Celestia.,What has the least impact on the environment?,Autre jeu,Board games do have an impact on the environment. But it's much smaller than the impact of car use.
FALSE,25 small board games (Bandido),Eating a beef steak,TRUE,1 beef steak pollutes more than 25 small board games like Bandido.,What has the least impact on the environment?,Autre jeu,Board games do have an impact on the environment. But it's smaller than eating beef. The calculation is based on a 150g beef steak.
FALSE,Play a large board game (Catan),Eating 67 apples,FALSE,Playing a large board game (Catan) has the same effect on the environment as eating 67 apples.,What has the least impact on the environment?,Egal,Eating 67 apples is equivalent to eating just over one apple a week for a year!
TRUE,"Some small independent games, with less impressive graphics, but a creative storyline",A popular video game with stunning graphics and millions of online players,TRUE,Small independent games are less polluting than popular games with stunning graphics.,What has the least impact on the environment?,Limiter la quantité,"A big industry that produces a lot of video games is going to have more impact on the environment than a small independent game. If everyone played a few small independent games, the video game industry would have less impact than if everyone plays big games with graphics that require more resources to produce."
TRUE,Extend the legal warranty of our equipments to 10 years,Keep the 2-year warranty of our equipments,TRUE,Extending the legal warranty on our appliances to 10 years helps reduce our impact on the environment.,What action can benefit the environment?,Limiter la quantité,"Extending the legal warranty on our appliances to 10 years can help to encourage buyers to return their faulty appliances to the manufacturers. If the manufacturers repair them, this action can help reduce our impact on the environment. "
TRUE,Adjust purchasing policies to take sustainability into account,Not considering sustainability in purchasing policies,TRUE,Adjusting purchasing policies to take sustainability into account helps reduce environmental impact.,What action can benefit the environment?,Limiter la quantité,"Adjusting purchasing policies can take the following form:
- Spacing out equipment renewal periods
- Opting for long-term repair and maintenance contracts
- Consider the sustainability of hardware and software purchases."
FALSE,Extend the legal warranty on our games to 10 years,Keep the 2-year warranty on our games,TRUE,Extending the legal warranty on our games to 10 years helps reduce our impact on the environment.,What action can benefit the environment?,Limiter la quantité,"Extending the legal warranty on our games to 10 years can help to encourage buyers to return their faulty appliances to the manufacturers. If the manufacturers repair them, this action can help reduce our impact on the environment. "
FALSE,Adjust purchasing policies to take sustainability into account,Not considering sustainability in purchasing policies,TRUE,Adjusting purchasing policies to take sustainability into account helps reduce environmental impact.,What action can benefit the environment?,Limiter la quantité,"Adjusting purchasing policies can take the following form:
- Spacing out equipment renewal periods
- Opting for long-term repair and maintenance contracts
- Consider the sustainability of hardware and software purchases."
TRUE,Add a reparability index to equipment sales,Add NutriScore to equipment sales,TRUE,Adding a reparability index to the equipment we sell can help reduce our impact on the environment.,What action can benefit the environment?,Prolonger la durée de vie,This encourages people to buy equipment that can be easily repaired and that will last over time.
