jeu_video,description_activite1,description_activite2,activite1_gagnante,commentaire,question,theme,explication
TRUE,1 téléphone (smartphone),1 ordinateur portable,TRUE,Un ordinateur portable a en moyenne 2 fois plus d'impact qu'un téléphone.,Qu'est-ce qui a le moins d'impact sur l'environnement ?,Autre jeu,"Pour la fabrication d'un ordinateur, on a besoin de plus de ressources que pour la fabrication d'un téléphone, c'est pour ça qu'il pollue plus. On estime qu'on garde en moyenne son téléphone pendant 2,5 ans et son ordinateur portable pendant 5 ans."
TRUE,1 ordinateur portable,1 aller-retour Genève-New York en avion,TRUE,Faire 1 aller-retour Genève-New York en avion pollue 9 fois plus qu'un ordinateur portable.,Qu'est-ce qui a le moins d'impact sur l'environnement ?,Autre jeu,La fabrication des ordinateurs pollue. Mais prendre l'avion pollue beaucoup plus lorsqu'on se concentre sur les émissions de gaz à effet de serre !
TRUE,L'intégrale de Friends en streaming sur une télévision,1 ordinateur portable,TRUE,Un ordinateur pollue 24 fois plus que regarder toute la série Friends et il y a beaucoup d'épisodes... 236 épisodes d'environ 20 minutes pour être exact !,Qu'est-ce qui a le moins d'impact sur l'environnement ?,Autre jeu,"L'utilisation de l'ordinateur pour regarder des séries ou un film pollue beaucoup moins qu'un ordinateur durant toute sa durée de vie, en prenant en compte sa fabrication, son utilisation et le recyclage ou l'incinération de ses matériaux quand il n'est plus utilisé. La majorité de l'impact de l'ordinateur portable vient en effet de sa fabrication et non pas de son utilisation."
TRUE,1 ordinateur portable,2 allers-retours en voiture pour traverser la Suisse,FALSE,2 allers-retours en voiture pour traverser la Suisse pollue autant que d'acheter un ordinateur portable.,Qu'est-ce qui a le moins d'impact sur l'environnement ?,Egal,"La pollution d'un ordinateur est comparable à traverser la Suisse en voiture de l'ouest à l'est 4 fois (2 fois 2 allers ou retours). Et comme la pollution de l'ordinateur vient majoritairement de sa fabrication, à chaque fois qu'on achète un ordinateur, c'est équivalent à traverser la Suisse en voiture 4 fois."
TRUE,Manger un steak de boeuf,Acheter 1 ordinateur portable,TRUE,1 ordinateur portable est 10 fois plus impactant qu'un steak de boeuf.,Qu'est-ce qui a le moins d'impact sur l'environnement ?,Autre jeu,Ce résultat est obtenu en comparant les émissions de CO2 équivalent. Le calcul se base sur un steak de boeuf de 150g.
TRUE,305 heures de streaming vidéo,Manger un steak de boeuf,FALSE,Manger un steak de boeuf pollue autant que de regarder 305h de vidéo en ligne.,Qu'est-ce qui a le moins d'impact sur l'environnement ?,Egal,"305h de vidéo c'est 3h de vidéo pendat 100 jours!

Ce résultat est obtenu en comparant les émissions de CO2 équivalent. Le calcul se base sur un steak de boeuf de 150g."
TRUE,1 ordinateur portable,1 ordinateur fixe,TRUE,Un ordinateur fixe est 1.5 fois plus impactant sur l'environnement qu'un ordinateur portable.,Qu'est-ce qui a le moins d'impact sur l'environnement ?,Autre jeu,"Un ordinateur fixe (sans l'écran d'ordinateur) est en général plus puissant qu'un ordinateur portable. Pour ce faire, il aura besoin de plus de ressources à sa fabrication (métaux, énergie, ...) et va donc engendrer plus d'impact."
TRUE,1 téléphone,1 écran d'ordinateur,FALSE,Un téléphone pollue autant qu'un écran d'ordinateur.,Qu'est-ce qui a le moins d'impact sur l'environnement ?,Egal,"D'un côté, la fabrication d'un téléphone est plus impactante que celle d'un écran d'ordinateur : elle émet plus de CO2 équivalent. De l'autre côté, on garde en général nos écrans d'ordinateur plus longtemps (6 ans) que nos téléphones (2,5 ans). Donc l'impact de l'utilisation des écrans compense le surplus d'impact lié à la fabrication du téléphone."
TRUE,Jouer avec un jeu vidéo acheter en magasin,Jouer avec un jeu vidéo téléchargé sur internet,FALSE,Jouer avec un jeu vidéo téléchargé sur internet pollue autant que jouer avec un jeu vidéo acheté en magasin.,Qu'est-ce qui a le moins d'impact sur l'environnement ?,Egal,"Pour l'environnement, il y a très peu de différence entre acheter un jeu en magasin et télécharger un jeu sur internet. Cela vient du fait que l'impact du téléchargement ou de l'achat du jeu matérialisé sera amorti sur le nombre d'heures de jeu. L'impact de l'achat du jeu devient petit en comparaison avec la fabrication de la console utilisée pour jouer, qui est source de la majorité de l'impact."
FALSE,Jouer à un jeu de société entièrement fait de papier et de carton,Jouer à un jeu de société entièrement fait de plastique,TRUE,Jouer à un jeu de société entièrement fait de papier et de carton pollue moins que s'il était entièrement produit en plastique.,Qu'est-ce qui a le moins d'impact sur l'environnement ?,Résultats ACV,"La production de plastique pollue plus que la production de papier et carton, donc un jeu de société entièrement fait de plastique polluera plus que s'il est fait de papier et carton."
FALSE,Jouer à un jeu Print & Play (jeu imprimé à la maison),Jouer à un jeu de plateau,TRUE,Jouer à un Print & Play pollue moins que de jouer à un jeu de plateau.,Qu'est-ce qui a le moins d'impact sur l'environnement ?,Résultats ACV,"Pour jouer à un jeu Print & Play, il suffit d'imprimer le jeu sur des feuilles en papier, ce qui sera beaucoup moins polluant que la fabrication d'un nouveau jeu avec un plateau en carton, des cartes en papier, des pions en bois, etc. "
FALSE,Un jeu de société avec des matériaux recyclés,Un jeu de société avec des matériaux non recyclés,TRUE,Un jeu de société avec des matériaux recyclés pollue moins qu'un jeu de société avec des matériaux non recyclés.,Qu'est-ce qui a le moins d'impact sur l'environnement ?,Résultats ACV,Un jeu avec des matériaux recyclés limite la production de nouveaux matériaux et c'est la production de nouveau matériaux qui a le plus d'impact dans la production des jeux de société.
FALSE,Jouer à un petit jeu de société (Bandido),Jouer à un jeu de société moyen (Celestia),TRUE,Un petit jeu comme Bandido pollue 2 fois moins qu'un jeu moyen comme Celestia.,Qu'est-ce qui a le moins d'impact sur l'environnement ?,Résultats étude,"La majorité de l'impact d'un jeu de société vient de la quantité de papier et de carton dans le jeu, car c'est le composant principal dans la plupart des jeux de société. Donc, plus il y a de papier et de carton dans un jeu, plus le jeu est impactant. D'où le fait que Celestia soit plus impactant que Bandido."
FALSE,Jouer à un jeu de société moyen (Celestia),Jouer à un grand jeu de société (Catan),TRUE,Un jeu moyen comme Celestia pollue près de 4 fois moins qu'un grand jeu comme Catan.,Qu'est-ce qui a le moins d'impact sur l'environnement ?,Résultats étude,"La majorité de l'impact d'un jeu de société vient de la quantité de papier et de carton dans le jeu, car c'est le composant principal dans la plupart des jeux de société. Donc, plus il y a de papier et de carton dans un jeu, plus le jeu est impactant. D'où le fait que Catan soit plus impactant que Celestia qui contient plus de papier et de carton."
FALSE,Donner ou vendre son jeu de société stocké dans un placard qui n'est plus joué,Stocker son jeu de société dans un placard et ne plus jamais y jouer,TRUE,Donner ou vendre son jeu de société inutilisé est mieux pour l'environnement que le stocker chez soi et de ne pas y jouer.,Qu'est-ce qui est mieux pour l'environnement ?,Prolonger la durée de vie,"Donner ou vendre son jeu de société inutilisé permet de prolonger la durée de vie du jeu. Ça permet à d'autres personnes de continuer à y jouer, si tu n'y joues plus. Lorsqu'on joue, c'est la fabrication du jeu de société qui impact le plus l'environnement. Prolonger la durée de vie d'un jeu limite l'achat de jeux neufs."
FALSE,Prendre soin de son jeu de société ,Mettre son jeu de société à la poubelle s'il est abimé,TRUE,Prendre soin de son jeu de société est mieux pour l'environnement que de jeter son jeu s'il est abimé.,Qu'est-ce qui est mieux pour l'environnement ?,Prolonger la durée de vie,"Prendre soin de son jeu de société permet de garder son jeu plus longtemps et donc de limiter l'achat de jeux neufs. Lorsqu'on joue, c'est la fabrication du jeu qui a le plus d'impact sur l'environnement."
FALSE,Remplacer la pièce manquante de ton jeu de société ,Ne plus utiliser ton jeu de société s'il manque une pièce,TRUE,Remplacer la pièce manquante de ton jeu de société pour continuer à y jouer est mieux pour l'environnement que de ne plus utiliser ton jeu s'il manque une pièce.,Qu'est-ce qui est mieux pour l'environnement ?,Prolonger la durée de vie,"Remplacer la pièce manquante de ton jeu de société permet de garder ton jeu plus longtemps et donc d'acheter moins de jeux neufs. Lorsqu'on joue, c'est la fabrication du jeu qui a le plus d'impact sur l'environnement."
FALSE,Acheter un jeu de société deuxième main,Acheter un jeu de société neuf,TRUE,"Acheter un jeu de société deuxième main est mieux pour l'environnement que d'acheter un jeu neuf, car le jeu le plus durable c'est celui qu'on a déjà !",Qu'est-ce qui est mieux pour l'environnement ?,Prolonger la durée de vie,Acheter un jeu de société deuxième main évite d'acheter un jeu neuf. La production d'un nouveau jeu est la partie la plus impactante sur l'environnement lorsqu'on joue. Acheter de la deuxième main ça permet de prolonger la durée de vie du jeu acheté. Le jeu pourra être utilisé plus longtemps.
FALSE,Emprunter un jeu de société dans une ludothèque,Acheter un jeu de société neuf,TRUE,Emprunter un jeu de société dans une ludothèque a moins d'impact sur l'environnement qu'acheter un jeu neuf.,Qu'est-ce qui est mieux pour l'environnement ?,Prolonger la durée de vie,"Emprunter un jeu de société dans une ludothèque évite d'acheter un jeu neuf. Cela permet de prolonger la durée de vie du jeu emprunté. Le jeu pourra être utiliser plus longtemps. Lorsqu'on joue, la fabrication du jeu est la partie la plus impactante sur l'environnement."
FALSE,Jouer à un jeu de société à la ludothèque du Musée Suisse du Jeu,Acheter un jeu de société neuf,TRUE,Jouer à un jeu de société à la ludothèque du Musée Suisse du Jeu a moins d'impact sur l'environnement qu'acheter un jeu neuf.,Qu'est-ce qui est mieux pour l'environnement ?,Prolonger la durée de vie,Jouer à un jeu de société de la ludothèque du Musée Suisse du Jeu (MSJ) évite d'acheter un jeu neuf. Ça permet de prolonger la durée de vie du jeu du MSJ. Le jeu pourra être utiliser plus longtemps. Ça évite la production d'un nouveau jeu. La production du jeu est la partie la plus impactante sur l'environnement lorsqu'on joue. 
FALSE,Se prêter des jeux de société entre ami.e.s,Acheter un jeu de société neuf uniquement pour toi,TRUE,Se prêter des jeux de société entre ami.e.s a moins d'impact sur l'environnement qu'acheter un jeu neuf uniquement pour toi.,Qu'est-ce qui est mieux pour l'environnement ?,Mutualiser,Avoir un jeu pour plusieurs personnes évite que chacun achète son propre jeu. Cela limite la production de nouveaux jeux de société. La production du jeu est la partie la plus impactante sur l'environnement lorsqu'on joue.
FALSE,Acheter un jeu de société à se partager entre plusieurs personnes,Acheter un jeu de société neuf pour une personne,TRUE,Acheter un jeu de société à se partager entre plusieurs personnes a moins d'impact sur l'environnement qu'acheter un jeu neuf pour une personne.,Qu'est-ce qui est mieux pour l'environnement ?,Mutualiser,Avoir un jeu pour plusieurs personnes évite que chacun achète son propre jeu. Cela limite la production de nouveaux jeux de société. La production du jeu est la partie la plus impactante sur l'environnement lorsqu'on joue.
FALSE,Jouer à un jeu de société à plusieurs,Jouer à un jeu de société seul.e,TRUE,Jouer à plusieurs a moins d'impact sur l'environnement que jouer seul.,Qu'est-ce qui est mieux pour l'environnement ?,Partage,"Quand on est plusieurs à jouer, l'impact du jeu de société est divisé par le nombre de joueureuses, donc on diminue l'impact. Et n'oublie pas de prendre les transports publics, le vélo ou de marcher pour te rendre chez tes amis pour jouer !"
FALSE,400 grands jeux de société (Catan),1 aller-retour Genève-New York en avion,TRUE,1 aller-retour Genève-New York en avion pollue plus que 400 grands jeux de société comme Catan.,Qu'est-ce qui a le moins d'impact sur l'environnement ?,Autre jeu,Les jeux de société ont un impact sur l'environnement. Mais il est beaucoup plus faible que l'utilisation de l'avion. 1 aller-retour Genève-New York en avion pollue autant que 433 grands jeux de société comme Catan.
FALSE,300 jeux de société moyens (Celestia),1 aller-retour en voiture pour traverser la Suisse,TRUE,1 aller-retour pour traverser la Suisse en voiture (de l'ouest à l'est) pollue plus que 300 jeux de société moyens comme Celestia.,Qu'est-ce qui a le moins d'impact sur l'environnement ?,Autre jeu,Les jeux de société ont un impact sur l'environnement. Mais il est beaucoup plus faible que l'utilisation de la voiture. 1 aller-retour pour traverser la Suisse en voiture (de l'ouest à l'est) pollue autant que 336 jeux de société moyens comme Celestia.
FALSE,150 petits jeux de société (Bandido),Manger un steak de boeuf,TRUE,1 steak de boeuf pollue plus que 150 petits jeux de société comme Bandido.,Qu'est-ce qui a le moins d'impact sur l'environnement ?,Autre jeu,Les jeux de société ont un impact sur l'environnement. Mais il est plus faible que manger de la viande de boeuf. Le calcul se base sur un steak de boeuf de 150g. 1 steak de boeuf pollue autant que 177 petits jeux de société comme Bandido.
FALSE,Jouer à un grand jeu de société (Catan),Manger 67 pommes,FALSE,Jouer à un grand jeu de société (Catan) a le même effet sur l'environnement que de manger 67 pommes.,Qu'est-ce qui a le moins d'impact sur l'environnement ?,Egal,Consommer 67 pommes correspond à un peu plus d'une pomme par semaine pendant une année !
TRUE,"Quelques petits jeux indépendants, avec des graphismes moins impressionnants, mais un scénario créatif","Un jeu vidéo populaire, avec des graphismes époustouflants et des millions de joueurs en ligne",TRUE,Les petits jeux indépendants sont moins polluants que le jeu populaire avec des graphismes époustouflants.,Qu'est-ce qui a le moins d'impact sur l'environnement ?,Limiter la quantité,"Une grosse industrie qui produit beaucoup de jeux vidéo va avoir plus d'impact sur l'environnement qu'un petit jeu indépendant. Si tout le monde jouait à quelques petits jeux indépendants, l'industrie du jeu vidéo aurait moins d'impact que si tout le monde joue à des gros jeux avec des graphismes qui demandent plus de ressources pour être produits."
TRUE,Allonger la garantie légal de nos appareils à 10 ans,Garder la garantie de nos appareils à 2 ans,TRUE,Allonger la garantie légal de nos appareils à 10 ans contribue à la réduction de notre impact sur l'environnement.,Quelle action peut être bénéfique pour l'environnement ?,Limiter la quantité,"Allonger la garantie légal de nos appareils à 10 ans peut contribuer à inciter les acheteurs à ramener leurs appareils défectueux aux fabriquants. Si les fabriquants les réparent, cette action peut contribuer à la réduction de notre impact sur l'environnement. "
TRUE,Ajuster les politiques d'achat pour prendre en compte la durabilité,Ne pas considérer la durabilité dans les politiques d'achat,TRUE,Ajuster les politiques d'achat pour prendre en compte la durabilité contribue à une réduction de l'impact sur l'environnement.,Quelle action peut être bénéfique pour l'environnement ?,Limiter la quantité,"Ajuster les politiques d'achat peut se présenter sous la forme suivante :
- Espacer les périodes de renouvellement du matériel
- Opter pour des contrats de réparation et maintenance longue durée
- Considérer la durabilité des achats matériel et logiciel"
FALSE,Allonger la garantie légal de nos jeux à 10 ans,Garder la garantie de nos jeux à 2 ans,TRUE,Allonger la garantie légal de nos jeux à 10 ans contribue à la réduction de notre impact sur l'environnement.,Quelle action peut être bénéfique pour l'environnement ?,Limiter la quantité,"Allonger la garantie légal de nos jeux à 10 ans peut contribuer à inciter les acheteurs à ramener leurs appareils défectueux aux fabriquants. Si les fabriquants les réparent, cette action peut contribuer à la réduction de notre impact sur l'environnement. "
FALSE,Ajuster les politiques d'achat pour prendre en compte la durabilité,Ne pas considérer la durabilité dans les politiques d'achat,TRUE,Ajuster les politiques d'achat pour prendre en compte la durabilité contribue à une réduction de l'impact sur l'environnement.,Quelle action peut être bénéfique pour l'environnement ?,Limiter la quantité,"Ajuster les politiques d'achat peut se présenter sous la forme suivante :
- Espacer les périodes de renouvellement du matériel
- Opter pour des contrats de réparation et maintenance longue durée
- Considérer la durabilité des achats matériel et logiciel"
TRUE,Ajouter un indice de réparabilité sur les équipements vendus,Ajouter le NutriScore sur les équipements vendus,TRUE,Ajouter un indice de réparabilité sur les équipements vendus peut contribuer à la réduction de notre impact sur l'environnement.,Quelle action peut être bénéfique pour l'environnement ?,Prolonger la durée de vie,Cela incite les gens à acheter des équipements qui sont facilement réparable et qui peuvent durer dans le temps.
